date,day,type,reactions,comments,shares
2011-08-17 06:28:30, 3, photo, 749, 34, 0
2011-08-18 07:17:26, 4, photo, 844, 63, 0
2011-08-19 06:04:52, 5, photo, 1748, 144, 0
2011-08-19 12:58:16, 5, photo, 656, 20, 0
2011-08-20 07:48:39, 6, link, 215, 23, 0
2011-08-21 10:26:34, 7, photo, 1088, 91, 0
2011-08-22 10:07:51, 1, link, 177, 32, 0
2011-08-23 04:56:03, 2, photo, 827, 44, 0
2011-08-23 11:59:56, 2, photo, 641, 35, 0
2011-08-24 06:45:05, 3, link, 383, 32, 0
2011-08-25 01:40:17, 4, link, 341, 17, 0
2011-08-25 11:45:14, 4, photo, 1044, 51, 0
2011-08-26 07:25:27, 5, video, 312, 16, 0
2011-08-26 13:55:28, 5, photo, 845, 43, 0
2011-08-27 09:37:59, 6, photo, 361, 24, 0
2011-08-28 12:27:03, 7, photo, 918, 62, 0
2011-08-29 08:57:37, 1, photo, 415, 16, 0
2011-08-29 12:22:30, 1, link, 139, 25, 0
2011-08-30 07:52:53, 2, photo, 693, 47, 0
2011-08-31 01:21:13, 3, photo, 945, 42, 0
2011-08-31 07:11:16, 3, link, 164, 12, 0
2011-08-31 15:57:46, 3, video, 212, 11, 0
2011-09-01 01:44:47, 4, photo, 666, 47, 0
2011-09-01 10:23:14, 4, photo, 529, 32, 0
2011-09-02 05:31:58, 5, video, 359, 32, 0
2011-09-02 15:01:26, 5, photo, 1330, 80, 0
2011-09-03 09:26:45, 6, link, 151, 18, 0
2011-09-04 01:33:26, 7, photo, 454, 48, 0
2011-09-05 07:57:17, 1, photo, 623, 25, 0
2011-09-05 13:37:55, 1, link, 167, 18, 0
2011-09-06 01:51:19, 2, video, 277, 13, 0
2011-09-06 11:37:10, 2, photo, 359, 28, 0
2011-09-07 04:59:52, 3, photo, 267, 24, 0
2011-09-07 10:03:08, 3, photo, 406, 18, 0
2011-09-08 06:55:43, 4, link, 339, 15, 0
2011-09-08 13:52:53, 4, photo, 205, 39, 0
2011-09-09 01:55:34, 5, photo, 1671, 126, 0
2011-09-09 13:25:22, 5, photo, 326, 57, 0
2011-09-10 07:25:35, 6, photo, 502, 27, 0
2011-09-10 11:50:32, 6, photo, 476, 73, 0
2011-09-11 03:21:52, 7, photo, 810, 55, 0
2011-09-11 12:42:57, 7, photo, 388, 51, 0
2011-09-11 16:28:45, 7, photo, 549, 28, 0
2011-09-12 00:32:18, 1, photo, 372, 17, 0
2011-09-12 11:18:54, 1, photo, 376, 50, 0
2011-09-13 02:35:27, 2, photo, 374, 56, 0
2011-09-13 08:20:05, 2, video, 368, 31, 0
2011-09-13 11:43:23, 2, photo, 833, 47, 0
2011-09-13 23:24:55, 2, video, 284, 20, 0
2011-09-14 02:48:19, 3, photo, 832, 41, 0
2011-09-14 07:17:07, 3, link, 170, 19, 0
2011-09-14 10:41:39, 3, video, 305, 25, 0
2011-09-15 01:21:34, 4, video, 523, 43, 0
2011-09-15 11:00:06, 4, photo, 1066, 67, 0
2011-09-16 05:07:36, 5, photo, 708, 31, 0
2011-09-16 12:18:34, 5, video, 217, 4, 0
2011-09-17 07:32:39, 6, photo, 503, 21, 0
2011-09-18 10:34:23, 7, photo, 487, 20, 0
2011-09-18 15:15:58, 7, video, 504, 29, 0
2011-09-19 04:35:25, 1, video, 381, 23, 0
2011-09-19 11:54:16, 1, photo, 574, 70, 0
2011-09-20 07:39:50, 2, photo, 302, 20, 0
2011-09-20 16:50:43, 2, link, 279, 8, 0
2011-09-21 04:49:05, 3, video, 534, 34, 0
2011-09-21 13:00:30, 3, video, 381, 23, 0
2011-09-22 09:34:53, 4, video, 635, 56, 0
2011-09-23 01:23:31, 5, photo, 1735, 81, 0
2011-09-23 13:49:21, 5, photo, 1357, 89, 0
2011-09-24 06:26:31, 6, link, 507, 19, 0
2011-09-24 13:08:58, 6, video, 493, 65, 0
2011-09-25 05:21:14, 7, video, 448, 18, 0
2011-09-25 11:12:48, 7, video, 791, 58, 0
2011-09-26 04:35:44, 1, photo, 1655, 117, 0
2011-09-26 04:35:44, 1, photo, 1655, 117, 0
2011-09-26 13:25:55, 1, photo, 1134, 115, 0
2011-09-27 13:19:15, 2, photo, 1434, 127, 0
2011-09-28 13:50:44, 3, photo, 1167, 53, 0
2011-09-29 12:46:58, 4, photo, 1826, 270, 0
2011-09-30 12:19:12, 5, photo, 629, 45, 0
2011-10-01 04:50:19, 6, photo, 1080, 74, 0
2011-10-02 08:10:49, 7, photo, 1312, 63, 0
2011-10-02 15:06:24, 7, photo, 609, 51, 0
2011-10-04 10:32:17, 2, photo, 816, 38, 0
2011-10-04 16:40:59, 2, photo, 418, 35, 0
2011-10-05 10:33:18, 3, photo, 1168, 68, 0
2011-10-06 06:55:44, 4, photo, 835, 47, 0
2011-10-07 10:15:22, 5, link, 812, 43, 0
2011-10-07 14:36:32, 5, photo, 831, 41, 0
2011-10-08 07:16:05, 6, video, 509, 56, 0
2011-10-09 03:24:08, 7, photo, 751, 27, 0
2011-10-10 09:06:29, 1, video, 467, 33, 0
2011-10-10 13:01:26, 1, photo, 1025, 54, 0
2011-10-11 11:19:39, 2, photo, 980, 58, 0
2011-10-12 10:25:14, 3, photo, 336, 37, 0
2011-10-12 14:22:39, 3, video, 413, 26, 0
2011-10-13 09:26:46, 4, photo, 982, 42, 0
2011-10-14 07:20:34, 5, video, 526, 23, 0
2011-10-14 12:49:00, 5, video, 273, 11, 0
2011-10-15 07:39:33, 6, photo, 738, 30, 0
2011-10-16 04:16:31, 7, question, 0, 0, 0
2011-10-17 11:13:07, 1, photo, 707, 39, 0
2011-10-17 14:32:06, 1, photo, 1009, 46, 0
2011-10-18 02:16:09, 2, photo, 813, 58, 0
2011-10-18 11:40:32, 2, photo, 1234, 76, 0
2011-10-19 05:38:38, 3, photo, 438, 13, 0
2011-10-20 06:54:32, 4, photo, 558, 22, 0
2011-10-21 01:16:46, 5, video, 358, 37, 0
2011-10-21 11:07:00, 5, question, 0, 0, 0
2011-10-22 07:40:22, 6, photo, 573, 37, 0
2011-10-23 02:24:39, 7, link, 257, 28, 0
2011-10-24 11:57:15, 1, photo, 727, 41, 0
2011-10-24 14:28:49, 1, photo, 750, 56, 0
2011-10-25 07:33:05, 2, photo, 672, 39, 0
2011-10-25 13:21:07, 2, photo, 641, 102, 0
2011-10-26 09:37:01, 3, photo, 391, 28, 0
2011-10-28 04:19:17, 5, photo, 452, 56, 0
2011-10-28 10:07:19, 5, photo, 325, 18, 0
2011-10-29 06:15:34, 6, video, 427, 65, 0
2011-10-30 07:02:15, 7, photo, 803, 50, 0
2011-10-31 08:45:20, 1, photo, 829, 35, 0
2011-11-01 07:51:15, 2, photo, 670, 41, 0
2011-11-01 15:35:25, 2, video, 378, 19, 0
2011-11-02 10:25:45, 3, photo, 1023, 47, 0
2011-11-03 09:51:22, 4, photo, 448, 29, 0
2011-11-04 18:30:34, 5, photo, 1118, 77, 0
2011-11-05 07:57:01, 6, video, 161, 12, 0
2011-11-06 02:43:15, 7, photo, 1132, 81, 0
2011-11-07 11:17:39, 1, photo, 848, 43, 0
2011-11-08 07:26:50, 2, photo, 95, 18, 0
2011-11-08 11:51:51, 2, photo, 600, 45, 0
2011-11-09 09:18:55, 3, photo, 924, 92, 0
2011-11-10 11:05:41, 4, photo, 939, 49, 0
2011-11-10 15:19:45, 4, photo, 858, 110, 0
2011-11-11 09:57:28, 5, photo, 351, 13, 0
2011-11-11 16:40:23, 5, photo, 456, 15, 0
2011-11-12 04:45:24, 6, photo, 336, 14, 0
2011-11-12 16:53:51, 6, photo, 847, 42, 0
2011-11-13 07:03:59, 7, link, 389, 38, 0
2011-11-14 07:49:08, 1, photo, 770, 44, 0
2011-11-14 12:48:17, 1, photo, 522, 23, 0
2011-11-15 06:03:47, 2, photo, 1647, 131, 0
2011-11-16 04:10:10, 3, photo, 450, 21, 0
2011-11-16 09:42:56, 3, photo, 687, 68, 0
2011-11-17 09:18:16, 4, photo, 825, 34, 0
2011-11-18 10:24:24, 5, photo, 695, 62, 0
2011-11-18 15:51:49, 5, photo, 853, 64, 0
