date,day,type,reactions,comments,shares
2013-04-05 07:32:03, 5, photo, 8, 6, 0
2013-04-11 12:24:22, 4, photo, 45, 10, 0
2013-04-12 07:09:33, 5, photo, 24, 6, 0
2013-04-12 11:47:21, 5, photo, 12, 4, 0
2013-04-15 12:13:52, 1, photo, 19, 3, 1
2013-04-15 12:43:31, 1, link, 6, 0, 1
2013-04-17 14:25:01, 3, link, 9, 1, 0
2013-04-23 12:04:22, 2, photo, 15, 1, 0
2013-04-23 12:54:09, 2, link, 5, 0, 0
2013-04-23 15:04:45, 2, video, 5, 0, 0
2013-04-24 09:02:37, 3, photo, 9, 0, 0
2013-04-29 12:25:09, 1, status, 8, 12, 0
2013-05-01 07:20:38, 3, status, 39, 4, 0
2013-05-02 11:52:44, 4, link, 3, 1, 0
2013-05-02 11:57:43, 4, photo, 4, 0, 0
2013-05-02 12:39:35, 4, photo, 10, 0, 0
2013-05-06 09:15:05, 1, coverphoto, 43, 4, 1
2013-05-06 09:47:07, 1, video, 9, 1, 2
2013-05-06 09:50:30, 1, photo, 3, 0, 0
2013-05-06 09:50:30, 1, photo, 4, 0, 0
2013-05-06 09:50:31, 1, photo, 4, 0, 0
2013-05-07 08:15:49, 2, status, 7, 0, 0
2013-05-07 08:43:59, 2, photo, 15, 0, 0
2013-05-07 09:31:12, 2, photo, 6, 1, 0
2013-05-08 14:31:45, 3, link, 6, 0, 0
2013-05-08 15:23:35, 3, video, 4, 0, 0
2013-05-09 09:11:04, 4, video, 4, 0, 0
2013-05-09 12:06:26, 4, photo, 11, 1, 0
2013-05-09 12:14:20, 4, photo, 13, 0, 0
2013-05-09 12:16:13, 4, video, 4, 0, 0
2013-05-10 07:34:04, 5, link, 18, 6, 0
2013-05-12 07:54:19, 7, status, 61, 3, 0
2013-05-13 08:08:33, 1, photo, 36, 7, 0
2013-05-13 12:28:16, 1, photo, 37, 5, 1
2013-05-13 12:30:21, 1, link, 7, 2, 1
2013-05-14 12:13:45, 2, video, 4, 0, 0
2013-05-15 14:17:06, 3, photo, 3, 0, 1
2013-05-15 14:37:59, 3, status, 26, 12, 0
2013-05-15 15:59:40, 3, photo, 14, 2, 1
2013-05-16 07:01:56, 4, photo, 29, 7, 13
2013-05-16 11:37:58, 4, link, 8, 0, 0
2013-05-18 10:04:28, 6, status, 26, 13, 0
2013-05-20 09:40:56, 1, photo, 4, 2, 1
2013-05-20 09:41:11, 1, photo, 9, 0, 0
2013-05-20 13:06:59, 1, photo, 16, 0, 0
2013-05-20 13:56:23, 1, photo, 12, 3, 0
2013-05-20 14:01:52, 1, video, 2, 0, 0
2013-05-20 15:20:29, 1, photo, 15, 0, 0
2013-05-21 08:59:08, 2, photo, 25, 1, 1
